_id,singkat,hasil
2285,ngawe,membuat
2286,ngawur,ngasal
2287,ngawur2an,ngasal-asalan
2288,ngayal,mengkhayal
2289,ngayalnye,mengkhayalnya
2290,ngbikin,membuat
2291,ngbom,mengebom
2292,ngbrol,mengobrol
2293,ngbuka,membuka
2294,ngdate,berkencan
2295,ngebalikin,mengembalikan
2296,ngebalikinnya,mengembalikannya
2297,ngebalikinya,mengembalikannya
2298,ngeband,main band
2299,ngebangain,membanggakan
2300,ngebanggain,membanggakan
2301,ngebangun,membangun
2302,ngebantai,membantai
2303,ngebanyol,membanyol
2304,ngebawa,membawa
2305,ngebayangin,membayangkan
2306,ngebayanginnya,membayangkannya
2307,ngebayanginya,membayangkannya
2308,ngebel,menelpon
2309,ngebelin,membelikan
2310,ngebilangin,memberitau
2311,ngeblokir,memblokir
2312,ngebo,tidur
2313,Ngebolang,berpetualang
2314,ngebolehin,membolehkan
2315,ngebom,mengebom
2316,ngebor,mengebor
2317,ngebosenin,membosankan
2318,ngebunuh,membunuh
2319,ngebut,mengebut
2320,ngebut2,kebut-kebutan
2321,ngebutz,mengebut
2322,ngebutzzz,mengebut
2323,ngecapin,mengecapi
2324,ngece,mengejek
2325,ngecek,mengecek
2326,ngeces,mengecas
2327,ngecet,mengecat
2328,ngeclub,membuat klub
2329,ngedadak,mendadak
2330,ngedarin,mengedarkan
2331,ngedate,berkencan
2332,ngedeke,membangun
2333,ngedekke,membangun
2334,ngedengkur,mendengkur
2335,ngedit,mengedit
2336,ngedit2,mengedit-edit
2337,ngedoain,mendoakan
2338,ngedor,menembak
2339,ngedp,membayar uang muka
2340,ngedufan,pergi ke dufan
2341,ngedukung,mendukung
2342,ngefolow,ngefollow
2343,ngegolin,mencetak gol
2344,ngehalau,menghalau
2345,ngehargai,menghargai
2346,ngehibur,menghibur
2347,ngehina,menghina
2348,ngehormatin,menghormati
2349,ngejagain,menjagakan
2350,ngejak,mengajak
2351,ngejalanin,menjalani
2352,ngejamin,menjamin
2353,ngejanjin,menjanjikan
2354,ngejar,mengejar
2355,ngejarnya,mengejarnya
2356,ngejek,mengejek
2357,ngejiplak,menjiplak
2358,Ngejual,menjual
2359,ngejubel,berjubel
2360,ngekek,tertawa
2361,ngeksis2an,eksis-eksisan
2362,ngeladenin,meladeni
2363,ngeladeninya,meladeninya
2364,ngelahirin,melahirkan
2365,ngelak,mengelak
2366,ngelaksonin,menglakson
2367,ngelamar,melamar
2368,ngelamun,melamun
2369,ngelanconk,melancong
2370,ngelantik,melantik
2371,ngelantur,melantur
2372,ngelap,mengelap
2373,ngelapak,berjualan
2374,ngelatihnya,melatihnya
2375,ngelawak,melucu
2376,ngeledek,mengejek
2377,ngelelepin,menenggelamkan
2378,ngelepas,melepas
2379,ngeles,membuat alasan
2380,ngelesnya,membuat alasannya
2381,ngelewatin,melewati
2382,ngeliat,melihat
2383,ngeliate,melihat
2384,ngeliatin,memperlihatkan
2385,ngeliatnya,melihatnya
2386,ngelilingin,mengelilingi
2387,ngeliput,meliput
2388,ngelirik,melirik
2389,ngelitik,menggelitik
2390,ngelive,disiarkan langsung
2391,ngelu,pusing
2392,ngeluapin,meluapkan
2393,ngeluarin,mengeluarkan
2394,ngeluarinya,mengeluarkannya
2395,ngelucu,melucu
2396,ngeluh,mengeluh
2397,ngelukis,melukis
2398,ngelupain,melupakan
2399,ngelus,mengelus
2400,ngembalin,mengembalikan
2401,ngembang,mengembang
2402,ngembun,mengembun
2403,ngemeng,ngomong
2404,ngemeng2,ngomong-ngomong
2405,ngemis2,mengemis-ngemis
2406,ngemodus,membuat modus
2407,ngemot,mengemut
2408,ngena,mengena
2409,ngenalin,mengenalkan
2410,ngendap,mengendap
2411,ngene,begini
2412,ngeneh,begini
2413,ngenes,mengenaskan
2414,ngenet,internetan
2415,ngepain,ngapain
2416,ngepel,mengepel
2417,ngepelin,mengepelkan
2418,ngerakit,merakit
2419,ngeramal,meramal
2420,ngeramein,meramaikan
2421,ngerampok,merampok
2422,ngerasa,merasa
2423,ngerasain,merasakan
2424,ngerayain,merayakan
2425,ngerayainnya,merayakannya
2426,ngerayainya,merayakannya
2427,ngerayu,merayu
2428,ngeremehin,meremehkan
2429,ngerencanain,merencanakan
2430,ngerepotin,merepotkan
2431,ngeres2,berpikiran kotor
2432,ngeributin,meributkan
2433,ngerintis,merintis
2434,Ngeriset,melakukan riset
2435,ngerix,ngerinya
2436,ngerjain,mengerjakan
2437,ngerokok,merokok
2438,ngertine,yang dimengerti
2439,ngertio,ngertikan
2440,ngerubah,mengubah
2441,ngerugiin,merugikan
2442,ngerugin,merugikan
2443,ngerusak,merusak
2444,ngerusakin,merusakkan
2445,ngetem,nongkrong
2446,ngetuit,ngetweet
2447,ngetwet,ngetweet
2448,ngetwets,ngetweet
2449,ngetwit,ngetweet
2450,ngetwitnya,ngetweetnya
2451,ngfollow,follow
2452,ngfolow,follow
2453,ngg,tidak
2454,ngga,tidak
2455,nggak,tidak
2456,nggakk,tidak
2457,nggakpapa,tidak apa-apa
2458,nggakyk,tidak seperti
2459,nggandeng,menggandeng
2460,ngganjel,mengganjal
2461,ngganteng,ganteng
2462,nggarap,mengerjakan
2463,nggash,memberi
2464,nggawa,membawa
2465,nggawe,membuat
2466,nggih,iya
2467,nggk,tidak
2468,nggo,untuk
2469,nggon,tempat
2470,nggonku,tempatku
2471,nggowes,bersepeda
2472,nggowo,membawa
2473,nggowo2,membawa
2474,nggu,nunggu
2475,nggundulinnya,menggundulinya
2476,ngguyu,tertawa
2477,nggy,gaya
2478,nghirup,menghirup
2479,ngibul,berkhayal
2480,ngidem,ngikut
2481,ngiderin,mengedarkan
2482,ngigau,mengigau
2483,ngih,iya
2484,ngijinin,mengizinkan
2485,ngikutin,mengikuti
2486,ngilang,menghilang
2487,ngilangin,menghilangkan
2488,ngimpi,mimpi
2489,ngimpih,mimpi
2490,ngimpiku,mimpiku
2491,ngincer,mengincar
2492,ngindarin,menghindari
2493,nginep,menginap
2494,nginepnya,menginapnya
2495,ngingetin,mengingatkan
2496,nginjek,menginjak
2497,ngintil,mengikuti
2498,ngintip,mengintip
2499,ngira,mengira
2500,ngiranya,mengiranya
2501,ngirim,mengirim
2502,ngiris,mengiris
2503,ngirup,menghirup
2504,ngis,nangis
2505,ngisi,mengisi
2506,ngiterin,mengitari
2507,ngitung,menghitung
2508,ngitungin,menghitung
2509,ngjak,mengajak
2510,ngjak2,mengajak-ajak
2511,ngjakin,mengajak
2512,ngjakn,mengajak
2513,ngjar,mengajar
2514,ngjarin,mengajari
2515,ngjk,mengajak
2516,ngjkin,mengajak
2517,ngk,tidak
2518,ngke,nanti
2519,ngko,nanti
2520,ngkost,kos
2521,ngkrong,nongkrong
2522,ngku,mengaku
2523,ngkut,ngikut
2524,nglakokne,menjalankan
2525,nglamar,melamar
2526,nglelang,melelang
2527,nglewatin,melewati
2528,ngliat,melihat
2529,ngliatin,melihat
2530,nglumpuke,mengumpulkan
2531,ngmg,ngomong
2532,ngmgn,ngomongin
2533,ngmng,ngomong
2534,ngmngin,ngomongin
2535,ngmngnya,ngomongnya
2536,ngmong,ngomong
2537,ngmongin,ngomongin
2538,ngmpln,mengumpulkan
2539,ngmpul,kumpul
2540,ngmpulin,mengumpulkan
2541,ngmuk,mengamuk
2542,ngnggur,menganggur
2543,ngngkat,mengangkat
2544,ngntuk,mengantuk
2545,ngo,untuk
2546,ngobro,ngobrol
2547,ngoceh,mengoceh
2548,ngocok,mengocok
2549,ngocol,mengocol
2550,ngolek,mencari
2551,ngoleksi,mengoleksi
2552,ngomel,mengomel
2553,ngomgn,ngomongin
2554,ngomogin,ngomongin
2555,ngomong2,ngomong-ngomong
2556,ngomonge,ngomongnya
2557,ngomongin,ngomongin
2558,ngonku,tempatku
2559,ngonoh,begitu
2560,ngonthel,bersepeda
2561,ngontrak,mengontrak
2562,ngopikeun,ngopikan
2563,ngopo,ngapain
2564,ngosek,nanti
2565,ngowes,bersepeda
2566,ngowo,membawa
2567,ngowo2,membawa
2568,ngp,ngapain
2569,ngpain,ngapain
2570,ngpn,ngapain
2571,ngpo,ngapain
2572,ngra,mengira
2573,ngrakit,merakit
2574,ngrasake,merasakan
2575,ngrasakno,merasakan
2576,ngrayain,merayakan
2577,ngrebut,merebut
2578,ngrokok,merokok
2579,ngrsain,merasakan
2580,ngrti,mengerti
2581,ngrusak,merusak
2582,ngsh,ngasih
2583,ngsih,ngasih
2584,ngubah,mengubah
2585,ngubengi,mengitari
2586,ngucapin,mengucapkan
2587,nguidam,ngidam
2588,ngulang,mengulang
2589,nguliah,kuliah
2590,ngumbar,mengumbar
2591,ngumpet,bersembunyi
2592,ngunu,begitu
2593,ngupi,ngopi
2594,ngupi2,ngopi-ngopi
2595,ngurangin,mengurangi
2596,nguras,menguras
2597,ngurusin,mengurusi
2598,ngurusinya,mengurusinya
2599,ngurusinyo,mengurusinya
2600,ngusul,usul
2601,ngusulin,mengusulkan
2602,ngutang,hutang
2603,ngutangi,menghutangi
2604,nguyu,tertawa
2605,nguyuh,kencing
2606,nie,ini
2607,night,malam
2608,nipuin,menipu
2609,nisan,nissan
2610,njih,iya
2611,njupuk,mengambil
2612,nlp,menelpon
2613,nlpn,menelpon
2614,nma,nama
2615,nmanya,namanya
2616,nmax,namanya
2617,nmna,namanya
2618,nmnya,namanya
2619,nmor,nomor
2620,nmpak,tampak
2621,nmpk,tampak
2622,nmr,nomor
2623,nmrnya,nomornya
2624,nmun,namun
2625,nnggu,menunggu
2626,nngguin,tungguin
2627,nngis,nenagis
2628,nnt,nanti
2629,nnton,nonton
2630,nntonnya,nontonnya
2631,no,nomor
2632,nolak,menolak
2633,nolong,menolong
2634,nolongin,menolong
2635,nomer,nomor
2636,nomere,nomornya
2637,nontonya,nontonnya
2638,nope,nomor HP
2639,nothing,tidak ada
2640,notif,pemberitahuan
2641,notifnya,pemberitahuannya
2642,nov,november
2643,now,sekarang
2644,npa,kenapa
2645,ntar,nanti
2646,nti,nanti
2647,ntinya,nantinya
2648,ntip,nitip
2649,ntn,nonton
2650,nton,nonton
2651,ntr,nanti
2652,number,nomor
2653,numpak,naik
2654,nungu,nunggu
2655,nyampe,sampai
2656,nyelengi,menabung
2657,nyelesein,menyelesaikan
2658,nyembuhin,menyembuhkan
2659,nyempetin,menyempatkan
2660,nyenengin,menyenangkan
2661,nyengol,menyenggol
2662,nyepedah,bersepeda
2663,nyesek,bikin sesak
2664,nyesel,menyesal
2665,nynyi,menyanyi
2666,nyokap,ibu
2667,nyolong,mencuri
2668,nyopet,mencopet
2669,nyupir,menyopir
2670,nyupire,menyopir
2671,nyupiri,menyopir
2672,nyuri,mencuri
2673,og,kok
2674,oia,oh iya
2675,ole-ole,oleh-oleh
2676,ole2,oleh-oleh
2677,oleh2,oleh-oleh
2678,omaigat,Ya Tuhan
2679,omaigot,Ya Tuhan
2680,omdo,omong doang
2681,omg,Ya Tuhan
2682,ono,ada
2683,opo,apa
2684,opr,operator
2685,oprtr,operator
2686,optional,pilihan
2687,options,pilihan
2688,ora,tidak
2689,org,orang
2690,org2,orang-orang
2691,orgalay,orang alay
2692,orgil,orang gila
2693,orgnya,orangnya
2694,orgtua,orangtua
2695,ori,original
2696,orng,orang
2697,orng2,orang-orang
2698,orngny,orangnya
2699,other,lainnya
2700,others,lainnya
2701,otmatis,otomatis
2702,otw,lagi di jalan
2703,"p\baikan""",perbaikan
2704,pa2,apa-apa
2705,pabrkan,pabrikan
2706,pacal,pacar
2707,pacalku,pacarku
2708,pager,pagar
2709,pailit,pelit
2710,pakaianya,pakaiannya
2711,pake,pakai
2712,pakein,pakaikan
2713,pakek,pakai
2714,panasnye,panasnya
2715,pancen,memang
2716,pangil,panggil
2717,pangilan,panggilan
2718,pantes,pantas
2719,parent,orangtua
2720,parents,orangtua
2721,party,pesta
2722,pcar,pacar
2723,pcaran,pacaran
2724,pcarku,pacarku
2725,pcr,[acar
2726,pcran,pacaran
2727,pcrmu,pacarmu
2728,pcrn,pacaran
2729,pcrnya,pacarnya
2730,pcrx,pacarnya
2731,pda,pada
2732,pdahal,padahal
2733,pdhal,padahal
2734,pdhalkan,padahalkan
2735,pdhl,padahal
2736,peace,damai
2737,pedes,pedas
2738,pegel,pegal
2739,pegi,pergi
2740,pekerjan,pekerjaan
2741,pelangan,pelanggan
2742,pelastik,plastik
2743,pelayananya,pelayanannya
2744,pelis,*memohon
2745,pelkunya,pelakunya
2746,pemainya,pemainnya
2747,pemakaianya,pemakaiannya
2748,pembayaranya,pembayarannya
2749,pembelan,pembelaan
2750,pembelanjan,pembelanjaan
2751,pembicaran,pembicaraan
2752,pembicraan,pembicaraan
2753,pembicran,pembicaraan
2754,pemkot,pemerintah kota
2755,pemotor,pemakai motor
2756,pemprov,pemerintah provinsi
2757,pencetane,pencetannya
2758,pencinta,pecinta
2759,pencitran,pencitraan
2760,penderitan,penderitaan
2761,pendiem,pendiam
2762,pengantian,penggantian
2763,pengen,ingin
2764,pengerjan,pengerjaan
2765,pengerjanya,pengerjaannya
2766,penghargan,penghargaan
2767,pengila,penggila
2768,penginapa,penginapan
2769,penginepan,penginapan
2770,pengmuman,pengumuman
2771,penguna,pengguna
2772,pengunan,penggunaan
2773,perasan,perasaan
2774,perasanku,perasaanku
2775,perasanmu,perasaanmu
2776,perduli,peduli
2777,perjlanan,perjalanan
2778,perkiran,perkiraan
2779,perkoro,perkara
2780,perktaan,perkataan
2781,perktan,perkataan
2782,permaenan,permainan
2783,permasalahanya,permasalahannya
2784,pertanyanya,pertanyaannya
2785,pertanyanye,pertanyaannya
2786,pesen,pesan
2787,pesenan,pesanan
2788,pesenanku,pesananku
2789,pg,pagi
2790,pgang,pegang
2791,pgar,pagar
2792,pgen,ingin
2793,pggl,panggil
2794,pgguna,pengguna
2795,pgi,pagi
2796,pgi2,pagi-pagi
2797,pgl,panggil
2798,pgn,ingin
2799,pgnnya,inginnya
2800,pguna,pengguna
2801,phk,pihak
2802,photo,foto
2803,picnic,piknik
2804,picnya,gambarnya
2805,pics,gambar
2806,picture,gambar
2807,pijet,pijat
2808,pijete,pijatnya
2809,pilgub,pemilihan gubernur
2810,pingin,ingin
2811,pinjem,pinjam
2812,pinjeman,pinjaman
2813,pinjemin,pinjamkan
2814,pinten,berapa
2815,pinter,pintar
2816,piro,berapa
2817,pis,damai
2818,pisan,sekali
2819,piscok,pisang cokelat
2820,piye,bagaimana
2821,pk,pakai
2822,pkai,pakai
2823,pke,pakai
2824,pkek,pakai
2825,pkeknyo,pakainya
2826,pkerjaan,pekerjaan
2827,pkerjan,pekerjaan
2828,pket,paket
2829,pkok,pokok
2830,pkoke,pokoknya
2831,pkoknya,pokoknya
2832,pkt,paket
2833,place,tempat
2834,please,*memohon
2835,plen,teman
2836,plend,teman
2837,plg,pulang
2838,plh,pilih
2839,plih,pilih
2840,plihan,pilihan
2841,plihanmu,pilihanmu
2842,plihannya,pilihannya
2843,plihanya,pilihannya
2844,plis,*memohon
2845,pljar,pelajar
2846,plng,pulang
2847,plnggan,pelanggan
2848,pls,pulsa
2849,plsa,pulsa
2850,pmain,pemain
2851,pmbelian,pembelian
2852,pmbngn,pembangunan
2853,pmbngnn,pembangunan
2854,pmbyran,pembayaran
2855,pmenang,pemenang
2856,pmeran,pameran
2857,pnasx,panasnya
2858,pndah,pindah
2859,pndahkn,pindahkan
2860,pndai,pandai
2861,pndeta,pendeta
2862,pndh,pindah
2863,pndhkan,pindahkan
2864,pndk,pendek
2865,pndngn,pandangan
2866,pndok,pondok
2867,pnempatan,penempatan
2868,png,ingin
2869,pngaduan,pengaduan
2870,pngamatan,pengamatan
2871,pngandaran,pangandaran
2872,pngantin,pengantin
2873,pngawas,pengawas
2874,pngecekan,pengecekan
2875,pngeckn,pengecekan
2876,pngemar,penggemar
2877,pngemudi,pengemudi
2878,pngen,ingin
2879,pnggemar,penggemar
2880,pnggil,panggil
2881,pnggila,panggilan
2882,pnggiln,panggilan
2883,pnggiran,pinggiran
2884,pnggl,panggil
2885,pngguna,pengguna
2886,pngil,panggil
2887,pngila,panggilan
2888,pngiln,penggilan
2889,pngiran,pinggiran
2890,pngkal,pangkal
2891,pngkatan,pangkatan
2892,pngl,panggil
2893,pngn,ingin
2894,pngnnya,inginnya
2895,pngnya,inginnya
2896,pngthan,pengetahuan
2897,pnguna,pengguna
2898,pngunjungna,pengunjungnya
2899,pngusaha,pengusaha
2900,pnh,pernah
2901,pnjam,pinjam
2902,pnjang,panjang
2903,pnjem,pinjam
2904,pnngkatan,peningkatan
2905,pnter,pintar
2906,pntes,pantas
2907,pntg,penting
2908,pnting,penting
2909,pntng,penting
2910,pntu,pintu
2911,pnuh,penuh
2912,pnumpang,penumpang
2913,pnungang,penunggang
2914,pny,punya
2915,pnya,punya
2916,pokoke,pokoknya
2917,pokokmen,pokoknya
2918,pokokna,pokoknya
2919,pokokny,pokoknya
2920,pokoknyah,pokoknya
2921,pokoknye,pokoknya
2922,ponakan2,ponakan-ponakan
2923,posisix,posisinya
2924,position,posisi
2925,positip,positif
2926,positive,positif
2927,poto,foto
2928,poto2,foto-foto
2929,potone,fotonya
2930,potonga,potongan
2931,potongane,potongannya
2932,potonganya,potongannya
2933,potongny,potongannya
2934,prancis,perancis
2935,prasaan,perasaan
2936,prasamu,perasaanmu
2937,prasan,perasaan
2938,prbaikn,perbaikan
2939,prbndinganya,perbandingannya
2940,prbyar,prabayar
2941,prcaya,percaya
2942,prcya,percaya
2943,prduk,produk
2944,prepare,persiapan
2945,present,hadir
2946,prformance,pertunjukan
2947,prg,pergi
2948,prgi,pergi
2949,prginy,perginya
2950,prginya,perginya
2951,prhatian,perhatian
2952,prhatin,perhatikan
2953,prhtungan,perhitungan
2954,price,harga
2955,prlu,perlu
2956,prmintaan,permintaan
2957,prmslhkan,permasalahkan
2958,prmukaan,permukaan
2959,prmukan,permukaan
2960,prnah,pernah
2961,prngkt,perangkat
2962,prnh,pernah
2963,produck,produk
2964,product,produk
2965,promise,berjanji
2966,prtm,pertama
2967,prtma,pertama
2968,prtunjukan,pertunjukan
2969,prumahan,perumahan
2970,prusahaan,perusahaan
2971,prusahan,perusahaan
2972,prushaan,perusahaan
2973,prushan,perusahaan
2974,prustasi,frustasi
2975,prwakilan,perwakilan
2976,ps.mingu,pasar minggu
2977,ps.rebo,pasar rebo
2978,psang,pasang
2979,psangin,pasangkan
2980,psat,pusat
2981,psawat,pesawat
2982,pscabyar,pascabayar
2983,psi,pssi
2984,pst,pasti
2985,psti,pasti
2986,pstikan,pastikan
2987,pstikn,pastikan
2988,pstkn,pastikan
2989,psukan,pasukan
2990,pswt,pesawat
2991,ptgs,petugas
2992,pth,putih
2993,ptih,putih
2994,ptngn,potongan
2995,ptong,potong
2996,ptongn,potongan
2997,puanas,panas
2998,public,publik
2999,pulg,pulang
3000,pulkam,pulang kampung
3001,pulng,pulang
3002,punten,maaf
3003,punx,punya
3004,puny,punya
3005,pupuler,popular
3006,pura2,pura-pura
3007,puteri,putri
3008,puth,putih
3009,putrie,putri
3010,putry,putri
3011,py,bagaimana
3012,pye,bagaimana
3013,q,saya
3014,qlw,kalau
3015,qm,kamu
3016,qt,kita
3017,qta,kita
3018,qu,saya
3019,quality,kualitas
3020,quiz,kuis
3021,raiso,tidak bisa
3022,rame,ramai
3023,rame2,ramai-ramai
3024,rasax,rasanya
3025,realitinya,realitanya
3026,receptionist,resepsionis
3027,regi,harga
3028,relation,relasi
3029,relationship,hubungan
3030,relax,santai
3031,reliability,tahan uji
3032,remember,ingat
3033,remembers,mengingatkan
3034,remembr,ingat
3035,repair,perbaiki
3036,repeat,ulangi
3037,replacement,penggantian
3038,replay,pengulangan
3039,report,laporan
3040,reports,laporan
3041,resources,sumberdaya
3042,respect,rasa hormat
3043,revelusion,revolusi
3044,reverse,kebalikan
3045,review,tinjau
3046,reward,hadiah
3047,rgunan,ragunan
3048,rmah,rumah
3049,rmai,ramai
3050,rmbut,rambut
3051,rmh,rumah
3052,rncana,rencana
3053,rncn,rencana
3054,rncna,rencana
3055,row,baris
3056,rsa,rasa
3057,rsak,rusak
3058,rsany,rasanya
3059,rsanya,rasanya
3060,sabaraha,berapa
3061,sabarahaeun,berapa
3062,saeutik,sedikit
3063,safetybelt,sabuk pengaman
3064,saia,saya
3065,saiki,sekarang
3066,sajah,saja
3067,sakalian,sekalian
3068,sam2,sama-sama
3069,sama2,sama-sama
3070,sampe,sampai
3071,sampein,sampaikan
3072,samperin,datangi
3073,samrinda,samarinda
3074,sangad,sangat
3075,sanget,sangat
3076,sangune,uang sakuku
3077,sangup,sanggup
3078,sante2,santai-santai
3079,sapa,siapa
3080,sapah,siapa
3081,sape,siapa
3082,sarano,sarannya
3083,saranya,sarannya
3084,sarap,saraf
3085,sare,tidur
3086,sarebuan,seribuan
3087,sareng,bareng
3088,sat,saat
3089,satuany,satuannya
3090,satuju,setuju
3091,saudra,saudara
3092,sbaliknya,sebaliknya
3093,sbar,sabar
3094,sbb,sebagai berikut
3095,sbel,sebel
3096,sbelah,sebelah
3097,sbelom,sebelum
3098,sbelum,sebelum
3099,sbelumnya,sebelumnya
3100,sbenarnya,sebenarnya
3101,sbenernya,sebenarnya
3102,sberapo,seberapa
3103,sbg,sebagai
3104,sbgai,sebagai
3105,sbgi,sebagai
3106,sbginya,sebagainya
3107,sbk,sibuk
3108,sblah,sebelah
3109,sblh,sebelah
3110,sblm,sebelum
3111,sblmnya,sebelumnya
3112,sblom,sebelum
3113,sblum,sebelum
3114,sbner,sebenarnya
3115,sbnernya,sebenarnya
3116,sbnrnya,sebenarnya
3117,sbnrnye,sebenarnya
3118,sbntar,sebentar
3119,sbnyk,sebanyak
3120,sbongkah,sebingkah
3121,sbr,sabar
3122,sbraha,berapa
3123,sbrnya,sebenarnya
3124,sbrp,seberapa
3125,sbtr,sebentar
3126,sbtu,sabtu
3127,sbuah,sebuah
3128,sbuk,sibuk
3129,sbut,sebut
3130,sbutin,sebutkan
3131,scandal,skandal
3132,scepatnya,secepatnya
3133,sceptnya,secepatnya
3134,sch,sekolah
3135,schol,sekolah
3136,scholarship,beasiswa
3137,scptny,secepatnya
3138,scptnya,secepatnya
3139,scr,secara
3140,scra,secara
3141,sdah,sudah
3142,sdap,sedap
3143,sdekah,sedekah
3144,sdg,sedang
3145,sdh,sudah
3146,sdih,sedih
3147,sdikit,sedikit
3148,sdkh,sedekah
3149,sdkit,sedikit
3150,sdkt,sedikit
3151,sdng,sedang
3152,sdngkan,sedangkan
3153,sdotan,sedotan
3154,sdra2,saudara-saudara
3155,sebenrnya,sebenarnya
3156,seberapo,seberapa
3157,seblm,sebelum
3158,seblum,sebelum
3159,seblumnya,sebelumnya
3160,sebnarnye,sebenarnya
3161,sebntr,sebentar
3162,sebrang,seberang
3163,sebrangnya,seberangnya
3164,secepetnya,secepatnya
3165,secret,rahasia
3166,security,keamanan
3167,sedaya,semua
3168,sekate,sekata
3169,sekate-kate,sekata-kata
3170,seken,bekas
3171,seklian,sekalian
3172,sekola,sekolah
3173,selese,selesai
3174,seling,selling
3175,seller,penjual
3176,selow,santai
3177,semarfren,smartfren
3178,semlm,semalam
3179,semngat,semangat
3180,sempeet,sempat
3181,send,terkirim
3182,senen,senin
3183,seneng,senang
3184,sepda,sepeda
3185,sepert,seperti
3186,sept,september
3187,service,servis
3188,sgala,segala
3189,sgar,segar
3190,sgera,segera
3191,sgini,segini
3192,sgitu,segitu
3193,sgni,segini
3194,sgt,sangat
3195,shg,sehingga
3196,sht,sehat
3197,siapin,siapkan
3198,signal,sinyal
3199,signalnya,sinyalnya
3200,siji,satu
3201,silahakan,silahkan
3202,silhkan,silahkan
3203,simpen,simpan
3204,simpenan,simpanan
3205,simple,simpel
3206,sitik,sedikit
3207,sj,saja
3208,sja,saja
3209,sjti,sejati
3210,skali,sekali
3211,skali2,sekali-kali
3212,skalian,sekalian
3213,skaligus,sekaligus
3214,skalinya,sekalinya
3215,skarang,sekarang
3216,skg ,sekarang
3217,skit,sakit
3218,skitar,sekitar
3219,skitaran,sekitaran
3220,sklh,sekolah
3221,skola,sekolah
3222,skolah,sekolah
3223,skrg,sekarang
3224,skrng,sekarang
3225,slahkn,silahkan
3226,slain,selain
3227,slalu,selalu
3228,slama,selama
3229,slamat,selamat
3230,slangkah,selangkah
3231,slanjut,selanjut
3232,slanjutnya,selanjutnya
3233,slesai,selesai
3234,slgkuh,selingkuh
3235,slh,salah
3236,slhkan,silahkan
3237,slhkn,silahkan
3238,slmat,selamat
3239,slmt,selamat
3240,slow,santai
3241,slrh,seluruh
3242,slruh,seluruh
3243,slsai,selesai
3244,slse,selesai
3245,slu,selalu
3246,sm,sama
3247,smbg,sombong
3248,smbhyg,sembahyang
3249,smbil,sambil
3250,smbl,sambil
3251,smbong,sombong
3252,smbuh,sembuh
3253,smbung,sambung
3254,smcam,semacam
3255,smcm,semacam
3256,smg,semoga
3257,smga,semoga
3258,smgat,semangat
3259,smgt,semangat
3260,smingu,seminggu
3261,smlem,semalam
3262,smlm,semalam
3263,smoga,semoga
3264,smpah,sumpah
3265,smpai,sampai
3266,smpaikn,sampaikan
3267,smpati,simpati
3268,smpe,sampai
3269,smph,sumpah
3270,smpi,sampai
3271,smpingan,sampingan
3272,smpurna,sempurna
3273,smtr,semester
3274,smua,semua
3275,smw,semua
3276,smwa,semua
3277,sna,sana
3278,sndiri,sendiri
3279,sndirian,sendirian
3280,sndr,sendiri
3281,snen,senin
3282,sneng,senang
3283,sng,senang
3284,sngaja,sengaja
3285,sngat,sangat
3286,sngj,sengaja
3287,sngt,sangat
3288,snguh,sungguh
3289,snilai,senilai
3290,so,jadi
3291,sodara,saudara
3292,sodaraan,bersaudara
3293,sodaramu,saudaramu
3294,sodaran,bersaudara
3295,sodarany,saudaranya
3296,solat,salat
3297,sory,maaf
3298,spnjag,sepanjang
3299,sprt,seperti
3300,sprti,seperti
3301,sprtinya,sepertinya
3302,spt,seperti
3303,spti,seperti
3304,sptny,sepertinya
3305,sptnya,sepertinya
3306,spu2,sepupu
3307,spupu,sepupu
3308,sputar,seputar
3309,spy,supaya
3310,spya,supaya
3311,srapan,sarapan
3312,sratus,seratus
3313,srg,sering
3314,sribu,seribu
3315,sring,sering
3316,srius,serius
3317,sruh,suruh
3318,srvcnya,servisnya
3319,srvice,servis
3320,standard,standar
3321,statement,kalimat
3322,stdy,studi
3323,stengah,setengah
3324,stgah,setengah
3325,stgh,setengah
3326,stia,setia
3327,stiap,setiap
3328,sticker,stiker
3329,still,masih
3330,stingi,setinggi
3331,stlah,setelah
3332,stlh,setelah
3333,stngah,setengah
3334,stngh,setengah
3335,stock,persediaan
3336,stuju,setuju
3337,stupid,bodoh
3338,subjec,subjek
3339,subject,subjek
3340,sulsel,sulawesi selatan
3341,sumpeh,sumpah
3342,sumph,sumpah
3343,sunguh,sungguh
3344,sunguh-sunguh,sungguh-sungguh
3345,sunguh2,sungguh-sungguh
3346,sunguhan,sungguhan
3347,swt,subhanahu wata'ala
3348,sy,saya
3349,sya,saya
3350,syg,sayang
3351,syp,siapa
3352,sypa,siapa
3353,syudah,sudah
3354,syukr,terimakasih
3355,syukron,terimakasih
3356,tahzan,bersedih
3357,tajir,kaya
3358,tak,tidak
3359,takada,tidak ada
3360,takan,tidak akan
3361,takboleh,tidak boleh
3362,takda,tidak ada
3363,takdapat,tidak dapat
3364,takde,tidak ada
3365,takdo,tidak ada
3366,takeabath,mandi
3367,takjugak,tidak juga
3368,takkan,tidak akan
3369,takleh,tidak boleh
3370,taklukan,taklukkan
3371,takmau,tidak mau
3372,takmintak,saya minta
3373,taknak,tidak enak
3374,taknampak,tidak nampak
3375,takok,tanya
3376,takon,tanya
3377,takpa,tidak apa-apa
3378,takpe,tidak apa-apa
